Model,Dataset,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,Validation,0.5,0.761,0.3101449275362319,0.9907407407407407,0.47240618101545256,0.8921171732270388,0.41151525381091947
Logistic Regression,Test,0.5,0.747,0.25075528700906347,0.9431818181818182,0.39618138424821003,0.8952352472089313,0.41651821402098593
Random Forest,Validation,0.5,0.756,0.3057142857142857,0.9907407407407407,0.4672489082969432,0.8945150307257932,0.43277603653717683
Random Forest,Test,0.5,0.751,0.2553191489361702,0.9545454545454546,0.4028776978417266,0.8926809210526315,0.37551794327833615
Gradient Boosting,Validation,0.5,0.894,0.5294117647058824,0.16666666666666666,0.2535211267605634,0.8988851519681116,0.43965792124581893
Gradient Boosting,Test,0.5,0.91,0.475,0.2159090909090909,0.296875,0.8914099880382775,0.35546797676375824
Tuned XGBoost,Validation,0.5,0.753,0.30422535211267604,1.0,0.46652267818574517,0.9006186679953496,0.425293274517377
Tuned XGBoost,Test,0.5,0.747,0.25663716814159293,0.9886363636363636,0.40749414519906324,0.9020571670653909,0.434874845060232
