Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC
Gradient Boosting,0.906,0.5357142857142857,0.15625,0.24193548387096775,0.8941164269911505,0.438008586639912
Random Forest,0.745,0.27089337175792505,0.9791666666666666,0.42437923250564336,0.8958563790560472,0.4133896034262313
Logistic Regression,0.744,0.2727272727272727,1.0,0.42857142857142855,0.8844372234513275,0.40849261652553254
Decision Tree,0.762,0.27388535031847133,0.8958333333333334,0.4195121951219512,0.8580441095132744,0.33871576473796594
