Threshold,Precision,Recall,F1,True_Negatives,False_Positives,False_Negatives,True_Positives
0.1,0.276657060518732,1.0,0.43340857787810383,653,251,0,96
0.12,0.2774566473988439,1.0,0.4343891402714932,654,250,0,96
0.14,0.2774566473988439,1.0,0.4343891402714932,654,250,0,96
0.16,0.2774566473988439,1.0,0.4343891402714932,654,250,0,96
0.18,0.2782608695652174,1.0,0.43537414965986393,655,249,0,96
0.2,0.2782608695652174,1.0,0.43537414965986393,655,249,0,96
0.22,0.2782608695652174,1.0,0.43537414965986393,655,249,0,96
0.24,0.2782608695652174,1.0,0.43537414965986393,655,249,0,96
0.26,0.28152492668621704,1.0,0.43935926773455375,659,245,0,96
0.28,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.3,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.32,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.34,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.36,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.38,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.4,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.42,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.44,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.46,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.48,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.5,0.2831858407079646,1.0,0.4413793103448276,661,243,0,96
0.52,0.28402366863905326,1.0,0.4423963133640553,662,242,0,96
0.54,0.28402366863905326,1.0,0.4423963133640553,662,242,0,96
0.56,0.28486646884273,1.0,0.44341801385681295,663,241,0,96
0.58,0.2835820895522388,0.9895833333333334,0.4408352668213457,664,240,1,95
0.6,0.283987915407855,0.9791666666666666,0.44028103044496486,667,237,2,94
0.62,0.28792569659442724,0.96875,0.4439140811455847,674,230,3,93
0.64,0.29430379746835444,0.96875,0.45145631067961167,681,223,3,93
0.66,0.30272108843537415,0.9270833333333334,0.4564102564102564,699,205,7,89
0.68,0.30855018587360594,0.8645833333333334,0.4547945205479452,718,186,13,83
0.7,0.3333333333333333,0.7604166666666666,0.4634920634920635,758,146,23,73
0.72,0.38848920863309355,0.5625,0.4595744680851064,819,85,42,54
0.74,0.5142857142857142,0.375,0.43373493975903615,870,34,60,36
0.76,0.6444444444444445,0.3020833333333333,0.41134751773049644,888,16,67,29
0.78,0.6060606060606061,0.20833333333333334,0.31007751937984496,891,13,76,20
0.8,0.5714285714285714,0.16666666666666666,0.25806451612903225,892,12,80,16
0.82,0.6875,0.11458333333333333,0.19642857142857142,899,5,85,11
0.84,0.7272727272727273,0.08333333333333333,0.14953271028037382,901,3,88,8
0.86,0.0,0.0,0.0,904,0,96,0
0.88,0.0,0.0,0.0,904,0,96,0
0.9,0.0,0.0,0.0,904,0,96,0
